,range,count,Frequency1,range2,count2,Frequency2
218,"(13080, 13140]",332,5.533333333333333,"(13080, 13140]",123,2.05
219,"(13140, 13200]",340,5.666666666666667,"(13140, 13200]",141,2.35
220,"(13200, 13260]",266,4.433333333333334,"(13200, 13260]",217,3.6166666666666667
221,"(13260, 13320]",623,10.383333333333333,"(13260, 13320]",79,1.3166666666666667
222,"(13320, 13380]",263,4.383333333333334,"(13320, 13380]",92,1.5333333333333334
223,"(13380, 13440]",220,3.6666666666666665,"(13380, 13440]",180,3.0
224,"(13440, 13500]",318,5.3,"(13440, 13500]",52,0.8666666666666667
225,"(13500, 13560]",106,1.7666666666666666,"(13500, 13560]",73,1.2166666666666666
226,"(13560, 13620]",314,5.233333333333333,"(13560, 13620]",131,2.183333333333333
227,"(13620, 13680]",75,1.25,"(13620, 13680]",51,0.85
228,"(13680, 13740]",422,7.033333333333333,"(13680, 13740]",191,3.183333333333333
229,"(13740, 13800]",202,3.3666666666666667,"(13740, 13800]",192,3.2
230,"(13800, 13860]",220,3.6666666666666665,"(13800, 13860]",90,1.5
231,"(13860, 13920]",79,1.3166666666666667,"(13860, 13920]",20,0.3333333333333333
232,"(13920, 13980]",20,0.3333333333333333,"(13920, 13980]",9,0.15
233,"(13980, 14040]",53,0.8833333333333333,"(13980, 14040]",18,0.3
234,"(14040, 14100]",15,0.25,"(14040, 14100]",0,0.0
235,"(14100, 14160]",0,0.0,"(14100, 14160]",27,0.45
236,"(14160, 14220]",21,0.35,"(14160, 14220]",90,1.5
237,"(14220, 14280]",440,7.333333333333333,"(14220, 14280]",156,2.6
238,"(14280, 14340]",604,10.066666666666666,"(14280, 14340]",79,1.3166666666666667
239,"(14340, 14400]",250,4.166666666666667,"(14340, 14400]",55,0.9166666666666666
240,"(14400, 14460]",217,3.6166666666666667,"(14400, 14460]",46,0.7666666666666667
241,"(14460, 14520]",15,0.25,"(14460, 14520]",11,0.18333333333333332
242,"(14520, 14580]",389,6.483333333333333,"(14520, 14580]",59,0.9833333333333333
243,"(14580, 14640]",433,7.216666666666667,"(14580, 14640]",212,3.533333333333333
244,"(14640, 14700]",123,2.05,"(14640, 14700]",31,0.5166666666666667
245,"(14700, 14760]",227,3.783333333333333,"(14700, 14760]",114,1.9
246,"(14760, 14820]",185,3.0833333333333335,"(14760, 14820]",67,1.1166666666666667
247,"(14820, 14880]",7,0.11666666666666667,"(14820, 14880]",47,0.7833333333333333
248,"(14880, 14940]",321,5.35,"(14880, 14940]",147,2.45
249,"(14940, 15000]",134,2.2333333333333334,"(14940, 15000]",44,0.7333333333333333
250,"(15000, 15060]",279,4.65,"(15000, 15060]",54,0.9
251,"(15060, 15120]",68,1.1333333333333333,"(15060, 15120]",77,1.2833333333333334
252,"(15120, 15180]",240,4.0,"(15120, 15180]",130,2.1666666666666665
253,"(15180, 15240]",60,1.0,"(15180, 15240]",11,0.18333333333333332
254,"(15240, 15300]",89,1.4833333333333334,"(15240, 15300]",106,1.7666666666666666
255,"(15300, 15360]",273,4.55,"(15300, 15360]",342,5.7
256,"(15360, 15420]",84,1.4,"(15360, 15420]",57,0.95
257,"(15420, 15480]",211,3.5166666666666666,"(15420, 15480]",160,2.6666666666666665
258,"(15480, 15540]",222,3.7,"(15480, 15540]",96,1.6
259,"(15540, 15600]",81,1.35,"(15540, 15600]",91,1.5166666666666666
260,"(15600, 15660]",4,0.06666666666666667,"(15600, 15660]",5,0.08333333333333333
261,"(15660, 15720]",111,1.85,"(15660, 15720]",42,0.7
262,"(15720, 15780]",146,2.433333333333333,"(15720, 15780]",56,0.9333333333333333
263,"(15780, 15840]",266,4.433333333333334,"(15780, 15840]",1108,18.466666666666665
264,"(15840, 15900]",194,3.2333333333333334,"(15840, 15900]",1569,26.15
265,"(15900, 15960]",77,1.2833333333333334,"(15900, 15960]",1347,22.45
266,"(15960, 16020]",36,0.6,"(15960, 16020]",1454,24.233333333333334
267,"(16020, 16080]",47,0.7833333333333333,"(16020, 16080]",1469,24.483333333333334
268,"(16080, 16140]",43,0.7166666666666667,"(16080, 16140]",1499,24.983333333333334
269,"(16140, 16200]",40,0.6666666666666666,"(16140, 16200]",1806,30.1
270,"(16200, 16260]",33,0.55,"(16200, 16260]",1704,28.4
271,"(16260, 16320]",75,1.25,"(16260, 16320]",1740,29.0
272,"(16320, 16380]",142,2.3666666666666667,"(16320, 16380]",1600,26.666666666666668
273,"(16380, 16440]",93,1.55,"(16380, 16440]",1694,28.233333333333334
274,"(16440, 16500]",0,0.0,"(16440, 16500]",1530,25.5
275,"(16500, 16560]",136,2.2666666666666666,"(16500, 16560]",879,14.65
276,"(16560, 16620]",31,0.5166666666666667,"(16560, 16620]",35,0.5833333333333334
277,"(16620, 16680]",19,0.31666666666666665,"(16620, 16680]",29,0.48333333333333334
278,"(16680, 16740]",143,2.3833333333333333,"(16680, 16740]",178,2.966666666666667
279,"(16740, 16800]",206,3.433333333333333,"(16740, 16800]",248,4.133333333333334
280,"(16800, 16860]",206,3.433333333333333,"(16800, 16860]",120,2.0
281,"(16860, 16920]",111,1.85,"(16860, 16920]",46,0.7666666666666667
282,"(16920, 16980]",179,2.9833333333333334,"(16920, 16980]",170,2.8333333333333335
283,"(16980, 17040]",189,3.15,"(16980, 17040]",36,0.6
284,"(17040, 17100]",86,1.4333333333333333,"(17040, 17100]",16,0.26666666666666666
285,"(17100, 17160]",485,8.083333333333334,"(17100, 17160]",48,0.8
286,"(17160, 17220]",385,6.416666666666667,"(17160, 17220]",36,0.6
287,"(17220, 17280]",306,5.1,"(17220, 17280]",66,1.1
288,"(17280, 17340]",228,3.8,"(17280, 17340]",26,0.43333333333333335
289,"(17340, 17400]",298,4.966666666666667,"(17340, 17400]",39,0.65
290,"(17400, 17460]",38,0.6333333333333333,"(17400, 17460]",0,0.0
291,"(17460, 17520]",270,4.5,"(17460, 17520]",86,1.4333333333333333
292,"(17520, 17580]",176,2.933333333333333,"(17520, 17580]",44,0.7333333333333333
293,"(17580, 17640]",98,1.6333333333333333,"(17580, 17640]",23,0.38333333333333336
294,"(17640, 17700]",156,2.6,"(17640, 17700]",111,1.85
295,"(17700, 17760]",280,4.666666666666667,"(17700, 17760]",202,3.3666666666666667
296,"(17760, 17820]",272,4.533333333333333,"(17760, 17820]",135,2.25
297,"(17820, 17880]",231,3.85,"(17820, 17880]",61,1.0166666666666666
298,"(17880, 17940]",235,3.9166666666666665,"(17880, 17940]",35,0.5833333333333334
299,"(17940, 18000]",166,2.7666666666666666,"(17940, 18000]",57,0.95
300,"(18000, 18060]",372,6.2,"(18000, 18060]",86,1.4333333333333333
301,"(18060, 18120]",179,2.9833333333333334,"(18060, 18120]",166,2.7666666666666666
302,"(18120, 18180]",130,2.1666666666666665,"(18120, 18180]",103,1.7166666666666666
303,"(18180, 18240]",87,1.45,"(18180, 18240]",28,0.4666666666666667
304,"(18240, 18300]",10,0.16666666666666666,"(18240, 18300]",9,0.15
